pubkey,nchannels,capacity,base,rate,alias
020d6989eaaf107a020501607aae8f489dd207cc495fbdd6b80eee14336ed3217c,35,99685471,1,0.01,ln1.bitcoin1212.me
020da13b3a016ce4baf3a5c3e3f31b94e41493a1f3754837ace03532fcfe9decd6,1,100000,1,0.01,
020daf147fdf0e8dd03258802feff62079fa43ab90d9e1ff8c1f5d598a87d4db3a,22,29904213,0.10042909338560423,0.0010042909338560423,Germany-24-365
020dcf8798bdc8316f6b84302e5895ab55832f73bd1d3775b1e96296ee4f42f069,2,524709,0,0.01,lnd01.beckorg.com
020de4c7b3fcca7eac8fe5ac0fb9c87400db5a931baec35251fe7c55f0d0f91773,16,32523073,0.08806092631529622,0.01,XanthinTwin
020dff8fa823e26d53701ffba52d8d1c832460d5dc459d796a1daca28b6a058761,10,15696552,1,0.01,Voltron
020e0970bb4413d004189bfe595300cc6015fb3d1c256608b9b3d197faabb37a72,2,884494,1,0.01,020e0970bb4413d00418
020e0af4d5a16eb14d29cb79cf1cfb787bc3d4789b2854b75c612563675ee97ad1,1,100000,1,0.01,020e0af4d5a16eb14d29
020e0b65d0a930893645d8cf0f6aac248111decb927cab58ca3ff9a70c80e02ca4,2,350000,1,0.01,TicklishPickle
020e4c3e2e5d2fe5b6d4a1027b807142f50d944a7835f49534bfa83dbe166a00e2,1,1763000,1,0.01,HIPPIEKILLER
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,129,265655684,0.001,2,MiltonPusser.lightningnode.eu
020e5ae73fd6ed69f01d1541ff178fca5aabf22771064288dfffd8d8eb686cc232,2,260000,1,0.01,rockhard
020e8091a59f0983ea4adf0f3e0d575e15d9cee676e827eafd3946f65ae869fafc,5,12184989,2.8358636187525486,0.45978658659437444,LordBit
020e9d8a93145f183f4f974ee4ed23cdae80f6ac968ebec5f51580726ca07be132,3,4060000,1,0.01,Genesis Block HK
020f0d93c700cf5cf556e61828fab473a5c30ee6eb927ae36a130cc1c57326d21a,28,406006930,1,0.01,Grid
020f11c67243b775fbc4463a709d0538c6dedc9d99e2c774f839989382ecc8ff6e,1,108000,1,0.01,Orbiter7
020f48d0e53287bf12ad0f2e007278ef818569efb147d936a629e8355e35764d4c,1,400000,1,1,�pilsner�
020f4953e359f15183f917c1e8eb01d22fb9f4b608552f8b7cf3508785bb1deec2,5,16043985,1,0.01,thebitcoinrabbi
020f8363ad94347f39f8074421e14ede27c4046fa28680553ed10982c77f30f83b,1,21161,20,200000,
020fccc5602053c438b13ebee7aa31a25e9c3803baace5afcecedff8db70543747,1,1000000,1,0.1,PEEVEDSPAWN-
021036bee54dab54a2c4aa6b611c61a58dc56af1242b9edfb7b1b082d431885d5e,2,340969,1,0.01,danierre [LND]
021038bdf13575ae9783e547fbe385ce9a9e8ff7fb2d9ecfc557fd863745c12b49,7,1300000,0.9653846153846154,0.01,4Head
02103e435311318804a3657f886f2a5c9bc1454ba4b9b20aecab16145907962f65,15,5466973,1,0.01,speedygonzalez
021061b11f89e4f52d064af951caca4b3d3d4a4001261dbe4a6c398d4e8233f44e,2,77618,0.2584145172511531,0.01,flat18.co.uk-C
021089f434244e1357d6a0ec5d1a53f09c30a07acb0be6fb37e79be67eb4c68c32,7,16034797,1,0.01,volker [LND]
02108e8231dad3c19fc2aa3d31f5175f89dff41f1a280de1289a7ec7fa96d1126a,3,256729,1.4828194516396669,0.16424825399545825,TheByteBoosters
02109b8fe23518430747ec2207933e1a0a45a7772536722c9b865b740587350fe7,2,489029,1,0.01,ToThaMoon
02110544e20886a1f43c61490300fef4acaf18126633da94558a1f36735db45539,17,32601081,1,0.01,octonion
02115c3198cb3430dd0ff7a7aabdb9abade4bb3a1a531e6159016e8fa1ee47e711,1,60000,1,0.01,02115c3198cb3430dd0f
0211946c513aa1cec6e28613e0cb9c4898c643c36f61c6249b08081fe3f0016c0f,2,9106353,1,0.01,raspiln
0211cbea2df5af449b94c9c540c7d944d5be223981318598c57c673130fcd676f4,2,599787,1,0.01,
0211ce12089e45ee7a68d0e94ee60c938c72a5317cc78f9ca456b823378501f3fd,14,15163157,1,0.01,Bolt
0211d55d51c6614117de5f48096392e4a5884ef8f3d2155922cc65b43905d43517,1,274626,1,0.1,
0211dd8642e353d98a4e9a9ff178d2b58c57c397fd71e78715ce9f9420e4fbd680,1,200000,1,0.01,Jim
0211e23e154bb0b87c210b92b3ed07071ee6168cdfcd24132db8e8fdb5eccba976,7,1070437,0.5,0.01,Argonalyst
021207b8e05bf9d1e9fdd63c6699a509398473aa92c7d78ae1ebd2f8519d366824,4,4698412,0,0.01,Texas
02121ee49356e3955e9e5e3591d88ccf91cfeec15191d264de3400e74eb3c79c40,7,630000,1,0.01,SatIsFactions
